Year Installed,Month Installed,Object ID,Address,Location,Street,Placement,Number of Racks,Number of Spaces,Last Edited Date,Geom
2015,1,1054,1259 09TH AVE,San Francisco Honda Ninth Avenue Service Center,09TH AVE,SIDEWALK,1,2,,"(37.7647549478, -122.466691009)"
2015,1,1055,475 VALENCIA ST,San Francisco School of Massage,VALENCIA,SIDEWALK,1,2,,"(37.7653548479, -122.421743408)"
2015,6,1056,746 ARGUELLO BLVD,San Francyclo,ARGUELLO BLVD,SIDEWALK,1,2,,"(37.776351848, -122.458285708)"
2015,1,1057,325 SANCHEZ ST,Sanchez Elementary School,SANCHEZ,SIDEWALK,2,4,,"(37.7634488481, -122.430534309)"
2014,7,1058,3626 BALBOA ST,rams,BALBOA ST,SIDEWALK,2,4,,"(37.7760424277, -122.498063209)"
2015,6,1059,2289 03RD ST,Sea Star,03RD ST,SIDEWALK,1,2,,"(37.7607155477, -122.388338108)"
2014,9,1060,26 VAN NESS AVE,Van Ness Keno Market,VAN NESS AVE,SIDEWALK,1,2,,"(37.7760115176, -122.418946608)"
2014,9,1061,30 VAN NESS AVE,Herbst Building,VAN NESS AVE,SIDEWALK,1,2,,"(37.7760115176, -122.418946608)"
2015,1,1062,1727 HAIGHT ST,Second Act,HAIGHT,SIDEWALK,1,2,,"(37.7692505476, -122.451211009)"
2015,1,1063,512 DIVISADERO ST,SF Hardware,DIVISADERO,SIDEWALK,1,2,,"(37.7743599483, -122.437320009)"
2015,1,1064,250 FLORIDA ST,SF SPCA,FLORIDA ST,SIDEWALK,2,4,,"(37.7663228482, -122.411885709)"
2015,1,1065,1125 FILLMORE ST,SFPD Northern Station,FILLMORE,SIDEWALK,1,2,,"(37.7801899482, -122.432445209)"
2015,1,1066,1899 WALLER ST,SFPD Park Station,WALLER ST,SIDEWALK,3,6,,"(37.7677969481, -122.455287008)"
2015,1,1067,461 06TH AVE,SFPD Richmond Station,06TH AVE,SIDEWALK,2,4,,"(37.7799275478, -122.464466809)"
2010,0,1068,3350 MISSION ST,Safeway,MISSION,SIDEWALK,1,2,,"(37.7432129475, -122.422190009)"
2015,1,1069,2345 24TH AVE,SFPD Taraval Station,24TH AVE,SIDEWALK,2,4,,"(37.7438320482, -122.481165509)"
2015,1,1070,301 EDDY ST,SFPD Tenderloin Station,EDDY,SIDEWALK,2,4,,"(37.7836649475, -122.412904009)"
2015,7,1071,535 MISSION ST,Shaw Alley,MISSION ST,SIDEWALK,2,4,,"(37.7887553478, -122.398040608)"
2015,1,1072,100 BUSH ST,Shell Building,BUSH ST,SIDEWALK,4,8,,"(37.7914785483, -122.399946808)"
2015,1,1073,755 BRANNAN ST,Shyp,BRANNAN ST,SIDEWALK,2,4,,"(37.773655848, -122.401978408)"
2015,1,1074,4539 MISSION ST,Sireno's Salon,MISSION ST,SIDEWALK,1,2,,"(37.7255411481, -122.433885309)"
2015,1,1075,1010 BRYANT ST,SO Restaurant,BRYANT ST,SIDEWALK,1,2,,"(37.7724129478, -122.407498009)"
2015,1,1076,535 FOLSOM ST,Socola Chocolates,FOLSOM,SIDEWALK,2,4,,"(37.7865493481, -122.395147109)"
2015,1,1077,78 01ST ST,Solmentum,01ST ST,SIDEWALK,1,2,,"(37.7899245478, -122.398097508)"
2011,6,1078,3398 MISSION ST,Walgreens,MISSION,SIDEWALK,1,2,,"(37.7425619481, -122.422191009)"
2015,7,1079,788 HARRISON ST,SOMA at 788 Apartments,HARRISON ST,SIDEWALK,1,2,,"(37.781173048, -122.399554308)"
2015,1,1080,2120 SUTTER ST,Song Tea & Ceramics,SUTTER,SIDEWALK,2,4,,"(37.7859899478, -122.435316209)"
2015,1,1081,2456 CHESTNUT ST,Sorry I Broke Your Heart,CHESTNUT ST,SIDEWALK,2,4,,"(37.8001047481, -122.443817609)"
2015,1,1082,2601 40TH AVE,South Sunset Playground,WAWONA; VICENTE,SIDEWALK,4,8,,"(37.7382539482, -122.498038609)"
2015,7,1083,680 FOLSOM ST,Specialty's,FOLSOM ST,SIDEWALK,1,2,,"(37.7845583476, -122.398564109)"
2015,1,1084,1590 BRYANT ST,Sports Basement,15TH ST; BRYANT,SIDEWALK,5,10,,"(37.7671230478, -122.411182609)"
2015,1,1085,850 JUDAH ST,St. Anne of the Sunset Catholic Church,FUNSTON,SIDEWALK,3,6,,"(37.7622003477, -122.471227509)"
2015,1,1086,900 HYDE ST,St. Francis Memorial Hospital,HYDE,SIDEWALK,2,4,,"(37.7895481481, -122.416686208)"
2015,1,1087,5950 GEARY BLVD,St. Monica School,GEARY; 24TH AVE,SIDEWALK,4,8,,"(37.7804940476, -122.483467809)"
2015,6,1088,4400 03RD ST,Star Market,03RD ST,SIDEWALK,1,2,,"(37.7380067482, -122.389698309)"
2015,1,1089,499 BAY ST,Starbucks,TAYLOR,SIDEWALK,1,2,,"(37.8053250477, -122.415097209)"
2015,1,1090,3735 BUCHANAN ST,Starbucks,BUCHANAN,SIDEWALK,1,2,,"(37.8044761482, -122.433845508)"
2015,1,1091,744 IRVING ST,Starbucks,IRVING,SIDEWALK,1,2,,"(37.7642916481, -122.466024908)"
